county,date,ML,Low_90,High_90,Low_50,High_50,state,fips,cases
Bergen,2020-03-04,4.0,1.58,8.290000000000001,2.83,5.57,New Jersey,34003.0,1
Bergen,2020-03-05,3.75,1.54,7.3100000000000005,2.8000000000000003,5.19,New Jersey,34003.0,2
Bergen,2020-03-06,3.56,1.49,6.71,2.65,4.82,New Jersey,34003.0,3
Bergen,2020-03-07,3.41,1.42,6.2700000000000005,2.5300000000000002,4.55,New Jersey,34003.0,3
Bergen,2020-03-08,3.29,1.42,6.01,2.45,4.36,New Jersey,34003.0,4
Bergen,2020-03-09,3.47,1.54,6.12,2.7,4.62,New Jersey,34003.0,5
Bergen,2020-03-10,3.25,1.43,5.63,2.5300000000000002,4.29,New Jersey,34003.0,7
Bergen,2020-03-11,3.31,1.51,5.5600000000000005,2.52,4.21,New Jersey,34003.0,11
Bergen,2020-03-12,3.2800000000000002,1.56,5.37,2.58,4.17,New Jersey,34003.0,13
Bergen,2020-03-13,3.5500000000000003,1.86,5.5,2.91,4.43,New Jersey,34003.0,17
Bergen,2020-03-14,3.54,1.97,5.25,2.91,4.2700000000000005,New Jersey,34003.0,31
Bergen,2020-03-15,3.73,2.32,5.25,3.19,4.4,New Jersey,34003.0,32
Bergen,2020-03-16,4.3500000000000005,3.14,5.63,3.86,4.88,New Jersey,34003.0,61
Bergen,2020-03-17,4.13,3.11,5.13,3.74,4.57,New Jersey,34003.0,84
Bergen,2020-03-18,3.58,2.74,4.44,3.27,3.97,New Jersey,34003.0,133
Bergen,2020-03-19,3.17,2.42,3.9,2.9,3.5100000000000002,New Jersey,34003.0,297
Bergen,2020-03-20,2.79,2.15,3.49,2.5500000000000003,3.1,New Jersey,34003.0,342
Bergen,2020-03-21,2.47,1.86,3.09,2.2600000000000002,2.77,New Jersey,34003.0,362
Bergen,2020-03-22,2.29,1.73,2.89,2.1,2.58,New Jersey,34003.0,457
Bergen,2020-03-23,2.41,1.8800000000000001,2.97,2.22,2.67,New Jersey,34003.0,609
Bergen,2020-03-24,2.6,2.1,3.11,2.43,2.85,New Jersey,34003.0,701
Bergen,2020-03-25,2.69,2.25,3.18,2.52,2.9,New Jersey,34003.0,819
Bergen,2020-03-26,2.61,2.2,3.0500000000000003,2.46,2.81,New Jersey,34003.0,1206
Bergen,2020-03-27,2.37,1.98,2.77,2.24,2.57,New Jersey,34003.0,1505
Bergen,2020-03-28,2.15,1.79,2.54,2.02,2.33,New Jersey,34003.0,1838
Bergen,2020-03-29,2.0100000000000002,1.6500000000000001,2.37,1.8900000000000001,2.19,New Jersey,34003.0,2169
Bergen,2020-03-30,1.9000000000000001,1.56,2.2600000000000002,1.78,2.07,New Jersey,34003.0,2482
Bergen,2020-03-31,1.97,1.6400000000000001,2.31,1.86,2.14,New Jersey,34003.0,2909
Bergen,2020-04-01,2.07,1.76,2.4,1.98,2.25,New Jersey,34003.0,3494
Bergen,2020-04-02,1.94,1.6400000000000001,2.25,1.82,2.07,New Jersey,34003.0,4099
Bergen,2020-04-03,1.76,1.47,2.06,1.6300000000000001,1.87,New Jersey,34003.0,4866
Bergen,2020-04-04,1.5,1.22,1.8,1.4000000000000001,1.6400000000000001,New Jersey,34003.0,5760
Bergen,2020-04-05,1.1500000000000001,0.87,1.45,1.05,1.29,New Jersey,34003.0,6187
Bergen,2020-04-06,0.9,0.62,1.21,0.78,1.02,New Jersey,34003.0,6862
Bergen,2020-04-07,0.73,0.44,1.04,0.63,0.88,New Jersey,34003.0,7533
Bergen,2020-04-08,0.62,0.33,0.9500000000000001,0.53,0.79,New Jersey,34003.0,7874
Bergen,2020-04-09,0.68,0.37,1.0,0.56,0.8200000000000001,New Jersey,34003.0,8343
Bergen,2020-04-10,0.62,0.3,0.9400000000000001,0.52,0.79,New Jersey,34003.0,8928
Bergen,2020-04-11,0.58,0.27,0.93,0.46,0.73,New Jersey,34003.0,9362
Bergen,2020-04-12,0.61,0.29,0.96,0.51,0.79,New Jersey,34003.0,9784
Bergen,2020-04-13,0.67,0.34,1.02,0.55,0.8300000000000001,New Jersey,34003.0,10092
