county,date,ML,Low_90,High_90,Low_50,High_50,state,fips,cases,deaths
King,2020-02-28,4.0,1.58,8.290000000000001,2.83,5.57,Washington,53033.0,1,0
King,2020-02-29,3.18,1.41,5.69,2.4,4.19,Washington,53033.0,4,1
King,2020-03-01,3.0100000000000002,1.42,5.13,2.38,3.94,Washington,53033.0,11,3
King,2020-03-02,2.85,1.4000000000000001,4.71,2.2,3.58,Washington,53033.0,15,6
King,2020-03-03,2.71,1.31,4.3100000000000005,2.09,3.34,Washington,53033.0,22,10
King,2020-03-04,2.68,1.4000000000000001,4.2,2.21,3.38,Washington,53033.0,33,11
King,2020-03-05,2.62,1.3900000000000001,3.98,2.17,3.25,Washington,53033.0,52,11
King,2020-03-06,2.5300000000000002,1.37,3.77,2.12,3.12,Washington,53033.0,59,12
King,2020-03-07,2.71,1.6400000000000001,3.9,2.2800000000000002,3.21,Washington,53033.0,72,16
King,2020-03-08,2.79,1.77,3.83,2.41,3.2600000000000002,Washington,53033.0,91,18
King,2020-03-09,2.75,1.85,3.72,2.42,3.19,Washington,53033.0,117,21
King,2020-03-10,2.69,1.87,3.5700000000000003,2.39,3.09,Washington,53033.0,191,23
King,2020-03-11,2.48,1.71,3.2600000000000002,2.21,2.85,Washington,53033.0,235,27
King,2020-03-12,2.23,1.53,2.98,1.99,2.59,Washington,53033.0,271,28
King,2020-03-13,2.05,1.3900000000000001,2.77,1.82,2.39,Washington,53033.0,329,33
King,2020-03-14,1.82,1.18,2.5100000000000002,1.6,2.15,Washington,53033.0,389,36
King,2020-03-15,1.6600000000000001,1.04,2.34,1.41,1.94,Washington,53033.0,421,38
King,2020-03-16,1.67,1.04,2.31,1.41,1.93,Washington,53033.0,489,44
King,2020-03-17,1.7,1.09,2.33,1.47,1.98,Washington,53033.0,518,47
King,2020-03-18,1.85,1.24,2.44,1.6500000000000001,2.15,Washington,53033.0,563,57
King,2020-03-19,1.96,1.3900000000000001,2.54,1.78,2.2600000000000002,Washington,53033.0,693,61
King,2020-03-20,1.97,1.44,2.54,1.76,2.21,Washington,53033.0,794,68
King,2020-03-21,1.8900000000000001,1.3800000000000001,2.43,1.69,2.12,Washington,53033.0,935,76
King,2020-03-22,1.71,1.23,2.25,1.54,1.96,Washington,53033.0,1036,77
King,2020-03-23,1.6,1.12,2.11,1.43,1.84,Washington,53033.0,1166,88
King,2020-03-24,1.6400000000000001,1.17,2.14,1.47,1.87,Washington,53033.0,1278,95
King,2020-03-25,1.74,1.26,2.2,1.58,1.97,Washington,53033.0,1360,101
King,2020-03-26,1.74,1.3,2.21,1.6,1.98,Washington,53033.0,1579,111
King,2020-03-27,1.67,1.23,2.11,1.53,1.9000000000000001,Washington,53033.0,1830,127
King,2020-03-28,1.3800000000000001,0.96,1.83,1.24,1.6,Washington,53033.0,2079,138
King,2020-03-29,1.1300000000000001,0.71,1.58,0.98,1.34,Washington,53033.0,2163,146
King,2020-03-30,0.87,0.43,1.31,0.74,1.11,Washington,53033.0,2332,152
King,2020-03-31,0.76,0.33,1.24,0.62,1.0,Washington,53033.0,2332,152
King,2020-04-01,0.76,0.31,1.24,0.62,1.01,Washington,53033.0,2498,166
King,2020-04-02,1.01,0.54,1.48,0.85,1.24,Washington,53033.0,2658,177
King,2020-04-03,1.1500000000000001,0.6900000000000001,1.62,1.01,1.4000000000000001,Washington,53033.0,2789,188
King,2020-04-04,1.29,0.86,1.78,1.1400000000000001,1.52,Washington,53033.0,2900,204
King,2020-04-05,1.3,0.87,1.77,1.1500000000000001,1.52,Washington,53033.0,3169,210
King,2020-04-06,1.3,0.87,1.75,1.12,1.48,Washington,53033.0,3333,224
King,2020-04-07,1.31,0.89,1.76,1.17,1.53,Washington,53033.0,3488,232
King,2020-04-08,1.25,0.85,1.71,1.09,1.44,Washington,53033.0,3690,246
King,2020-04-09,1.1500000000000001,0.74,1.59,1.0,1.35,Washington,53033.0,3888,260
King,2020-04-10,1.06,0.65,1.5,0.91,1.26,Washington,53033.0,4119,279
King,2020-04-11,0.9,0.5,1.36,0.73,1.08,Washington,53033.0,4264,286
King,2020-04-12,0.7000000000000001,0.28,1.1500000000000001,0.55,0.91,Washington,53033.0,4428,294
King,2020-04-13,0.55,0.13,0.99,0.41000000000000003,0.78,Washington,53033.0,4551,298
King,2020-04-14,0.41000000000000003,0.02,0.81,0.26,0.62,Washington,53033.0,4622,305
King,2020-04-15,0.46,0.04,0.89,0.3,0.68,Washington,53033.0,4699,314
King,2020-04-16,0.56,0.1,1.02,0.37,0.77,Washington,53033.0,4811,322
King,2020-04-17,0.74,0.23,1.22,0.58,1.0,Washington,53033.0,4904,333
King,2020-04-18,0.86,0.35000000000000003,1.35,0.65,1.06,Washington,53033.0,5065,342
King,2020-04-19,0.87,0.39,1.3900000000000001,0.6900000000000001,1.1,Washington,53033.0,5174,348
King,2020-04-20,0.8300000000000001,0.36,1.36,0.66,1.07,Washington,53033.0,5295,362
King,2020-04-21,0.81,0.33,1.33,0.63,1.04,Washington,53033.0,5381,374
King,2020-04-22,0.81,0.31,1.31,0.65,1.07,Washington,53033.0,5451,381
King,2020-04-23,0.88,0.39,1.4000000000000001,0.72,1.1400000000000001,Washington,53033.0,5571,386
King,2020-04-24,0.92,0.43,1.44,0.76,1.18,Washington,53033.0,5691,393
King,2020-04-25,0.91,0.42,1.43,0.75,1.17,Washington,53033.0,5813,401
King,2020-04-26,0.86,0.37,1.3800000000000001,0.7000000000000001,1.12,Washington,53033.0,5914,410
King,2020-04-27,0.78,0.26,1.27,0.6,1.02,Washington,53033.0,5992,418
King,2020-04-28,0.7000000000000001,0.19,1.2,0.54,0.97,Washington,53033.0,6056,429
Pierce,2020-03-06,4.0,1.58,8.290000000000001,2.83,5.57,Washington,53053.0,1,0
Pierce,2020-03-07,3.56,1.52,6.72,2.62,4.78,Washington,53053.0,3,0
Pierce,2020-03-08,3.6,1.61,6.390000000000001,2.69,4.69,Washington,53053.0,4,0
Pierce,2020-03-09,3.24,1.5,5.64,2.46,4.19,Washington,53053.0,7,0
Pierce,2020-03-10,3.0100000000000002,1.34,5.09,2.32,3.89,Washington,53053.0,14,0
Pierce,2020-03-11,2.83,1.31,4.8100000000000005,2.19,3.65,Washington,53053.0,17,0
Pierce,2020-03-12,2.69,1.22,4.53,2.1,3.48,Washington,53053.0,17,0
Pierce,2020-03-13,2.72,1.25,4.47,2.11,3.45,Washington,53053.0,19,0
Pierce,2020-03-14,2.71,1.3,4.4,2.16,3.45,Washington,53053.0,26,0
Pierce,2020-03-15,2.66,1.26,4.21,2.15,3.38,Washington,53053.0,29,0
Pierce,2020-03-16,2.71,1.3900000000000001,4.22,2.17,3.34,Washington,53053.0,44,0
Pierce,2020-03-17,2.59,1.35,4.01,2.12,3.22,Washington,53053.0,44,0
Pierce,2020-03-18,2.48,1.3,3.81,2.05,3.09,Washington,53053.0,56,1
Pierce,2020-03-19,2.38,1.25,3.63,1.94,2.92,Washington,53053.0,75,1
Pierce,2020-03-20,2.2800000000000002,1.21,3.48,1.82,2.75,Washington,53053.0,83,1
Pierce,2020-03-21,2.19,1.16,3.33,1.78,2.67,Washington,53053.0,95,1
Pierce,2020-03-22,2.11,1.1,3.18,1.76,2.62,Washington,53053.0,107,1
Pierce,2020-03-23,2.04,1.08,3.09,1.7,2.5300000000000002,Washington,53053.0,126,1
Pierce,2020-03-24,2.12,1.16,3.09,1.79,2.59,Washington,53053.0,138,1
Pierce,2020-03-25,2.24,1.33,3.17,1.92,2.68,Washington,53053.0,155,2
Pierce,2020-03-26,2.2800000000000002,1.45,3.19,2.0,2.72,Washington,53053.0,186,4
Pierce,2020-03-27,2.21,1.3800000000000001,3.0100000000000002,1.8900000000000001,2.56,Washington,53053.0,231,5
Pierce,2020-03-28,2.0300000000000002,1.27,2.82,1.76,2.4,Washington,53053.0,282,5
Pierce,2020-03-29,1.8900000000000001,1.17,2.66,1.6,2.21,Washington,53053.0,317,6
Pierce,2020-03-30,1.81,1.1,2.54,1.53,2.12,Washington,53053.0,352,6
Pierce,2020-03-31,1.81,1.1400000000000001,2.54,1.59,2.17,Washington,53053.0,352,6
Pierce,2020-04-01,1.83,1.17,2.52,1.61,2.17,Washington,53053.0,423,7
Pierce,2020-04-02,1.87,1.23,2.5300000000000002,1.6500000000000001,2.19,Washington,53053.0,498,7
Pierce,2020-04-03,1.77,1.17,2.43,1.56,2.08,Washington,53053.0,577,7
Pierce,2020-04-04,1.61,1.01,2.23,1.37,1.87,Washington,53053.0,626,8
Pierce,2020-04-05,1.37,0.79,2.0,1.17,1.67,Washington,53053.0,694,10
Pierce,2020-04-06,1.2,0.62,1.83,1.0,1.5,Washington,53053.0,723,12
Pierce,2020-04-07,1.08,0.49,1.71,0.85,1.35,Washington,53053.0,766,14
Pierce,2020-04-08,1.05,0.46,1.7,0.8300000000000001,1.34,Washington,53053.0,801,16
Pierce,2020-04-09,0.96,0.36,1.61,0.76,1.28,Washington,53053.0,844,17
Pierce,2020-04-10,0.96,0.35000000000000003,1.62,0.7000000000000001,1.22,Washington,53053.0,881,19
Pierce,2020-04-11,0.9,0.27,1.54,0.67,1.2,Washington,53053.0,928,19
Pierce,2020-04-12,0.87,0.24,1.52,0.64,1.18,Washington,53053.0,937,20
Pierce,2020-04-13,0.8300000000000001,0.19,1.47,0.62,1.17,Washington,53053.0,975,20
Pierce,2020-04-14,0.8200000000000001,0.18,1.47,0.55,1.1,Washington,53053.0,1006,23
Pierce,2020-04-15,0.89,0.23,1.56,0.62,1.18,Washington,53053.0,1028,28
Pierce,2020-04-16,0.9500000000000001,0.25,1.6,0.71,1.28,Washington,53053.0,1064,30
Pierce,2020-04-17,0.9500000000000001,0.28,1.6400000000000001,0.71,1.28,Washington,53053.0,1092,30
Pierce,2020-04-18,0.96,0.28,1.6400000000000001,0.71,1.28,Washington,53053.0,1149,32
Pierce,2020-04-19,0.93,0.27,1.6300000000000001,0.6900000000000001,1.26,Washington,53053.0,1170,32
Pierce,2020-04-20,0.86,0.2,1.54,0.61,1.18,Washington,53053.0,1194,34
Pierce,2020-04-21,0.8200000000000001,0.14,1.46,0.53,1.1,Washington,53053.0,1225,36
Pierce,2020-04-22,0.75,0.1,1.3900000000000001,0.53,1.11,Washington,53053.0,1248,40
Pierce,2020-04-23,0.74,0.11,1.41,0.48,1.06,Washington,53053.0,1268,44
Pierce,2020-04-24,0.73,0.09,1.3900000000000001,0.49,1.08,Washington,53053.0,1293,47
Pierce,2020-04-25,0.75,0.09,1.41,0.51,1.11,Washington,53053.0,1313,47
Pierce,2020-04-26,0.8,0.12,1.48,0.55,1.16,Washington,53053.0,1327,48
Pierce,2020-04-27,0.84,0.13,1.52,0.56,1.17,Washington,53053.0,1355,49
Pierce,2020-04-28,0.92,0.17,1.6,0.66,1.28,Washington,53053.0,1388,51
Snohomish,2020-01-21,,,,,,Washington,53061.0,1,0
Snohomish,2020-01-22,,,,,,Washington,53061.0,1,0
Snohomish,2020-01-23,,,,,,Washington,53061.0,1,0
